GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-commandes,com.esi.commerce.exception,CommerceException,0,4,0,0,0,1,0,1,0,1
gestion-commandes,com.esi.commerce.exception,QuantiteInvalideException,0,6,0,0,0,2,0,1,0,1
gestion-commandes,com.esi.commerce.exception,PanierVideException,0,4,0,0,0,2,0,1,0,1
gestion-commandes,com.esi.commerce.exception,ClientInvalideException,0,5,0,0,0,2,0,1,0,1
gestion-commandes,com.esi.commerce.exception,CommandeDejaAnnuleeException,0,5,0,0,0,2,0,1,0,1
gestion-commandes,com.esi.commerce.exception,ProduitIndisponibleException,0,5,0,0,0,2,0,1,0,1
gestion-commandes,com.esi.commerce.exception,CommandeIntrouvableException,0,5,0,0,0,2,0,1,0,1
gestion-commandes,com.esi.commerce.controller,CommandeController,27,0,0,0,6,0,4,0,4,0
gestion-commandes,com.esi.commerce.controller,GlobalExceptionHandler,11,0,0,0,2,0,2,0,2,0
gestion-commandes,com.esi.commerce.model,Produit,3,28,0,0,1,10,1,5,1,5
gestion-commandes,com.esi.commerce.model,Client,6,47,0,0,2,13,2,7,2,7
gestion-commandes,com.esi.commerce.model,Commande,3,56,0,0,1,17,1,11,1,11
gestion-commandes,com.esi.commerce.model,LigneCommande,0,15,0,0,0,6,0,3,0,3
gestion-commandes,com.esi.commerce.service,CommandeService,20,452,11,42,4,93,11,34,1,16
gestion-commandes,com.esi.commerce.service,CommandeService.LignesResultat,0,9,0,0,0,1,0,1,0,1
gestion-commandes,com.esi.commerce.service,ClientService,4,40,0,0,1,5,1,6,1,6
gestion-commandes,com.esi.commerce.service,ProduitService,4,51,0,2,1,7,1,8,1,7
gestion-commandes,com.esi.commerce,CommerceApplication,16,0,0,0,5,0,4,0,4,0
